"date","value"
[2011-03-21,40.411764705882355]
[2011-03-22,18.946902654867255]
[2011-03-23,29.0]
[2011-03-24,13.98076923076923]
[2011-03-25,11.784431137724551]
[2011-03-26,23.27659574468085]
[2011-03-27,17.781690140845072]
[2011-03-28,16.910714285714285]
[2011-03-29,17.76923076923077]
[2011-03-30,11.341935483870968]
[2011-03-31,10.328358208955224]
[2011-04-01,8.965909090909092]
[2011-04-02,9.884615384615385]
[2011-04-03,9.953216374269006]
[2011-04-04,12.92817679558011]
[2011-04-05,10.92]
[2011-04-06,13.02836879432624]
[2011-04-07,11.456953642384105]
[2011-04-08,10.538922155688622]
[2011-04-09,11.08805031446541]
[2011-04-10,9.864197530864198]
[2011-04-11,12.443037974683545]
[2011-04-12,12.428571428571429]
[2011-04-13,11.834146341463414]
[2011-04-14,18.920529801324502]
[2011-04-15,14.42361111111111]
[2011-04-16,12.47305389221557]
[2011-04-17,12.65]
[2011-04-18,18.42281879194631]
[2011-04-19,23.543046357615893]
[2011-04-20,22.573426573426573]
[2011-04-21,12.91025641025641]
[2011-04-22,11.859649122807017]
[2011-04-23,12.30813953488372]
[2011-04-24,15.36875]
[2011-04-25,13.39795918367347]
[2011-04-26,15.324607329842932]
[2011-04-27,24.335195530726256]
[2011-04-28,22.226190476190474]
[2011-04-29,17.31219512195122]
[2011-04-30,24.081521739130434]
[2011-05-01,22.02185792349727]
[2011-05-02,16.020942408376964]
[2011-05-03,14.534653465346535]
[2011-05-04,14.55026455026455]
[2011-05-05,15.217777777777778]
[2011-05-06,15.884615384615385]
[2011-05-07,17.13063063063063]
[2011-05-08,14.019323671497585]
[2011-05-09,14.684647302904564]
[2011-05-10,16.411458333333332]
[2011-05-11,16.83157894736842]
[2011-05-12,18.45294117647059]
[2011-05-13,20.747474747474747]
[2011-05-14,17.739837398373982]
[2011-05-15,17.52212389380531]
[2011-05-16,17.542168674698797]
[2011-05-17,17.524590163934427]
[2011-05-18,18.91919191919192]
[2011-05-19,27.821428571428573]
[2011-05-20,21.237885462555067]
[2011-05-21,23.253521126760564]
[2011-05-22,20.709302325581394]
[2011-05-23,20.69090909090909]
[2011-05-24,18.871287128712872]
[2011-05-25,20.18811881188119]
